phylum	BC_01_PL1_both	BC_01_PL2_both	BC_01_PL3_both	BC_02_PL1_both	BC_02_PL2_both	BC_02_PL3_both	BC_03_PL1_both	BC_03_PL2_both	BC_03_PL3_both	BC_04_PL1_both	BC_04_PL2_both	BC_04_PL3_both	BC_05_PL1_both	BC_05_PL2_both	BC_05_PL3_both	BC_06_PL1_both	BC_06_PL2_both	BC_06_PL3_both	BC_07_PL1_both	BC_07_PL2_both	BC_07_PL3_both	BC_08_PL1_both	BC_08_PL2_both	BC_08_PL3_both	BC_09_PL1_both	BC_09_PL2_both	BC_09_PL3_both	BC_10_PL1_both	BC_10_PL2_both	BC_10_PL3_both	BC_11_PL1_both	BC_11_PL2_both	BC_11_PL3_both	BC_12_PL1_both	BC_12_PL2_both	BC_12_PL3_both	BC_13_PL1_both	BC_13_PL2_both	BC_13_PL3_both	BC_14_PL1_both	BC_14_PL2_both	BC_14_PL3_both	BC_15_PL1_both	BC_15_PL2_both	BC_15_PL3_both	BC_16_PL1_both	BC_16_PL2_both	BC_16_PL3_both	BC_17_PL1_both	BC_17_PL2_both	BC_17_PL3_both	BC_18_PL1_both	BC_18_PL2_both	BC_18_PL3_both	BC_19_PL1_both	BC_19_PL2_both	BC_19_PL3_both	BC_20_PL1_both	BC_20_PL2_both	BC_20_PL3_both	BC_21_PL1_both	BC_21_PL2_both	BC_21_PL3_both	BC_22_PL1_both	BC_22_PL2_both	BC_22_PL3_both	BC_23_PL1_both	BC_23_PL2_both	BC_23_PL3_both	BC_24_PL1_both	BC_24_PL2_both	BC_24_PL3_both	BC_25_PL1_both	BC_25_PL2_both	BC_25_PL3_both	BC_26_PL1_both	BC_26_PL2_both	BC_26_PL3_both	BC_27_PL1_both	BC_27_PL2_both	BC_27_PL3_both	BC_28_PL1_both	BC_28_PL2_both	BC_28_PL3_both	BC_29_PL1_both	BC_29_PL2_both	BC_29_PL3_both	BC_30_PL1_both	BC_30_PL2_both	BC_30_PL3_both	BC_31_PL1_both	BC_31_PL2_both	BC_31_PL3_both	BC_32_PL1_both	BC_32_PL2_both	BC_32_PL3_both	BC_33_PL1_both	BC_33_PL2_both	BC_33_PL3_both	BC_34_PL1_both	BC_34_PL2_both	BC_34_PL3_both	BC_35_PL1_both	BC_35_PL2_both	BC_35_PL3_both	BC_36_PL1_both	BC_36_PL2_both	BC_36_PL3_both	BC_37_PL1_both	BC_37_PL2_both	BC_37_PL3_both	BC_38_PL1_both	BC_38_PL2_both	BC_38_PL3_both	BC_39_PL1_both	BC_39_PL2_both	BC_39_PL3_both	BC_40_PL1_both	BC_40_PL2_both	BC_40_PL3_both	BC_41_PL1_both	BC_41_PL2_both	BC_41_PL3_both	BC_42_PL1_both	BC_42_PL2_both	BC_42_PL3_both	BC_43_PL1_both	BC_43_PL2_both	BC_43_PL3_both	BC_44_PL1_both	BC_44_PL2_both	BC_44_PL3_both	BC_45_PL1_both	BC_45_PL2_both	BC_45_PL3_both	BC_46_PL1_both	BC_46_PL2_both	BC_46_PL3_both	BC_47_PL1_both	BC_47_PL2_both	BC_47_PL3_both	BC_48_PL1_both	BC_48_PL2_both	BC_48_PL3_both	BC_49_PL1_both	BC_49_PL2_both	BC_49_PL3_both	BC_50_PL1_both	BC_50_PL2_both	BC_50_PL3_both	BC_51_PL1_both	BC_51_PL2_both	BC_51_PL3_both	BC_52_PL1_both	BC_52_PL2_both	BC_52_PL3_both	BC_53_PL1_both	BC_53_PL2_both	BC_53_PL3_both	BC_54_PL1_both	BC_54_PL2_both	BC_54_PL3_both	BC_55_PL1_both	BC_55_PL2_both	BC_55_PL3_both	BC_56_PL1_both	BC_56_PL2_both	BC_56_PL3_both	BC_57_PL1_both	BC_57_PL2_both	BC_57_PL3_both	BC_58_PL1_both	BC_58_PL2_both	BC_58_PL3_both	BC_59_PL1_both	BC_59_PL2_both	BC_59_PL3_both	BC_60_PL1_both	BC_60_PL2_both	BC_60_PL3_both	BC_61_PL1_both	BC_61_PL2_both	BC_61_PL3_both	BC_62_PL1_both	BC_62_PL2_both	BC_62_PL3_both	BC_63_PL1_both	BC_63_PL2_both	BC_63_PL3_both	BC_64_PL1_both	BC_64_PL2_both	BC_64_PL3_both	BC_65_PL1_both	BC_65_PL2_both	BC_65_PL3_both	BC_66_PL1_both	BC_66_PL2_both	BC_66_PL3_both	BC_67_PL1_both	BC_67_PL2_both	BC_67_PL3_both	BC_68_PL1_both	BC_68_PL2_both	BC_68_PL3_both	BC_69_PL1_both	BC_69_PL2_both	BC_69_PL3_both	BC_70_PL1_both	BC_70_PL2_both	BC_70_PL3_both	BC_71_PL1_both	BC_71_PL2_both	BC_71_PL3_both	BC_72_PL1_both	BC_72_PL2_both	BC_72_PL3_both	BC_73_PL1_both	BC_73_PL2_both	BC_73_PL3_both	BC_74_PL1_both	BC_74_PL2_both	BC_74_PL3_both	BC_75_PL1_both	BC_75_PL2_both	BC_75_PL3_both	BC_76_PL1_both	BC_76_PL2_both	BC_76_PL3_both	BC_77_PL1_both	BC_77_PL2_both	BC_77_PL3_both	BC_78_PL1_both	BC_78_PL2_both	BC_78_PL3_both	BC_79_PL1_both	BC_79_PL2_both	BC_80_PL1_both	BC_80_PL2_both	BC_81_PL1_both	BC_81_PL2_both	BC_82_PL1_both	BC_82_PL2_both	BC_83_PL1_both	BC_83_PL2_both	BC_84_PL1_both	BC_84_PL2_both	BC_85_PL1_both	BC_85_PL2_both	BC_86_PL1_both	BC_86_PL2_both	BC_87_PL1_both	BC_87_PL2_both	BC_88_PL1_both	BC_88_PL2_both	BC_89_PL1_both	BC_89_PL2_both	BC_90_PL1_both	BC_90_PL2_both	BC_91_PL1_both	BC_91_PL2_both	BC_92_PL1_both	BC_92_PL2_both	BC_93_PL1_both	BC_93_PL2_both	BC_94_PL1_both	BC_94_PL2_both	BC_95_PL1_both	BC_95_PL2_both	BC_96_PL1_both	BC_96_PL2_both
Actinobacteria	450.0626319108541	1402.370565366732	779.4150897188341	801.2531147502942	499.0865283685464	1126.6770105514709	318.0338147276829	705.116242040065	283.0017495831069	673.9134655568214	1929.2479015065223	743.982692872079	502.15661608480195	4411.722881754277	1047.2344338726782	364.28044046352755	762.2225747673335	500.69684526359407	809.1858295852398	681.402798945243	1524.9523452160427	232.6406706509444	444.98574024503466	618.707842151078	258.9850958038728	940.0589922008542	289.0058513608654	787.3844897228757	2076.488422226435	710.3348024102014	362.2219359893138	829.0131271951511	603.372484158854	609.7155090037113	1802.5615266765767	813.2510683055577	246.1437527112329	1192.8789460172834	469.46919114832104	450.3103103236629	666.5074319763448	531.0393188888108	562.2813613020351	861.306164725116	876.4904993487862	62.99203863222778	245.58940351474877	136.35484484074345	402.3774668349768	894.49387140731	75.96144276183753	5158.694634550574	3463.8460459878356	2913.9760300243684	222.3209735691542	807.1801728520135	1580.8821908510427	80.2930730335821	585.5459888687647	1415.608605208692	177.29388786411874	1841.0175881770701	1829.4226746466566	910.763387574331	1812.5486492642092	1080.358562061829	1404.7860527529633	947.140001627193	1059.0141277424045	692.591553854131	1639.4047886079813	740.2145718269612	267.8506908631539	1035.297701871493	730.7888474194043	83.99999252413889	573.5940239254553	385.1597070131717	473.1747463792502	1450.6676549622816	2626.5362246366712	369.4002572861685	1291.0119695063688	1440.797135650328	1169.572991337635	1473.3246331122086	992.4786845429929	461.4816398680073	818.7728920146518	896.7780871068223	1556.963030745314	1349.7425799999648	886.5792019292705	15810.251981452217	3985.3936379210877	2278.6508653238348	3056.2723021968663	2071.758866896162	2415.4682507861626	1208.9863637980773	3995.5008695320957	1263.4829266420068	2609.6531283367676	1410.6390324629244	2299.2626982706506	1222.0069387152575	2678.230331433194	3316.592819126517	879.4729098146788	1964.8409276300292	959.6025683974249	4285.302831300169	1533.1151560058283	814.4362494435376	13048.51145441588	3711.448022099084	6666.287356130644	2180.7112292182373	1455.919965208281	3881.484647823255	1040.8755746187946	3815.8540494778026	3186.897520752239	2793.803092002849	900.1889078470138	1468.2819357904177	3049.631092827048	2474.138822947699	898.1622659215739	1670.5171488753458	2306.7557150083358	959.24287849738	588.618786970167	1339.2678580991753	704.2755732569193	1948.6782619146697	1786.56745242367	689.259066522733	1281.0218488176833	838.5470581671974	455.0015682767849	4439.323698926083	2455.2153138903686	2702.226280378682	660.7471581960996	1271.394640352153	1823.2838067461355	1623.3547085125895	1982.291743378627	1662.295680406899	785.0009340773561	1446.031165815258	2601.3207912422017	2275.401108205292	2683.3147503066375	1359.2776386043909	1087.3308988619774	1473.6987864295936	1001.1438042872092	7979.552628998964	2534.4155326998507	1561.8674471996826	1486.406760344911	1553.9435619870492	1951.3979286584492	932.1099188354459	1932.4629175205516	2572.967859227943	111.19508283627829	285.498493767422	102.9999794635889	2555.7013071965093	1431.6423001751125	2133.7302322254122	1191.604614572446	2120.8879642203997	1258.6605740950495	4446.592329057522	2695.7295443719877	1964.3593906559045	376.5857763325251	331.66699164687554	126.0419119923696	5117.025989832469	1528.695850982362	2815.7242475255985	3909.1485694970397	1346.341651559088	731.059068487402	2567.0832887718484	193.08946860366353	3232.7891543136543	1532.1591714258957	2326.2933874298956	1542.3700849517215	3940.41314249269	1690.3359594740489	2345.1992472277193	290.99999937710646	321.1038936291758	94.98598131170048	3068.6002089810727	1873.584968810846	809.2372379846155	4679.096067647895	1708.2769863902765	2699.350972786586	2209.524172334166	281.72650400140486	1682.274751150927	16841.113463113434	1436.9923771555536	3865.3504412592433	4087.7260557981394	1474.4471374013008	7002.110510225171	1415.6047672586117	1550.810795095527	1257.999863228389	4749.887876886756	2483.7928739914446	2400.012234146771	1973.3827161369354	931.6416456299554	1054.805257055119	7231.798155297743	2235.920476430922	1150.4671897430533	4033.5915381826935	1652.6998935001388	1319.4264984920726	12456.645121628017	1737.3668754714017	1494.260411744956	4263.431786942283	477.8957166765399	3724.8065716640876	1234.0492389565356	7157.95133457541	5162.755386741156	5090.846027431235	1738.4817778552977	3579.202921229658	1363.5174817174122	6937.523532577979	1752.4692130058545	2218.3656493597596	875.7850351047799	1541.564125077342	254.89079751179491	2752.9171535143487	489.8692819253813	1981.1274508933805	234.3866543978691	3688.751103090323	1122.7787189440403	2358.9860781620137	1526.121432018914	172.31162526773954	441.2674970831714	131.01522787309307	1007.1770583876151	267.75828556090323	1035.5684768224214	191.8592916098388	283.02767549370736	2397.2113414137293	1852.2694126502197	1310.8427086519566	869.4331891865265
Bacteroidetes	11575.115175582652	17544.784080954872	10645.778518284447	11814.627071139865	5902.614549826195	10126.090554644203	6682.95716394906	10065.521947039691	3064.1039738125446	13274.699535381946	25698.744435443215	8159.643532355878	8514.145204416285	32206.30808075015	8312.548227454445	7705.459683597327	20341.90652726722	5624.2389329639545	12778.491976439982	15627.167826470439	21987.17085476014	7767.321991113998	17716.21167828473	11909.43250802369	6153.637310384338	9007.444902108386	5126.2664429315655	13517.952182803167	19654.106451495692	7599.950506290606	8271.91231322268	10186.662769455312	6337.815867680574	5737.575145960331	12716.747311415354	5407.864324350814	4232.209546299666	13315.527278279997	5732.196102638169	9199.78906992742	14543.661658108998	8796.400726172542	7993.56628349855	18550.436577240438	14263.940712809603	676.6452835080615	3483.5061283481436	1744.8162351932408	5849.910139927712	8366.8374909585	940.0683284209919	8728.316272983719	7733.933162171072	6087.341378597663	4272.50878716015	6876.340108744551	2579.4519597107205	2166.930670751424	5769.527378969118	3528.574297710144	3491.1328836357366	17247.905126683137	4144.353598767302	5680.005861065474	18520.59201991719	4969.748950225762	8655.513908933668	9680.469678241632	5608.156367506433	10901.850403129054	29196.695107543943	4707.374747156089	5173.775647135209	4324.039084806166	1456.4962193703316	484.2078268405239	2164.6191925190396	564.0381885374359	3732.475382911284	5167.538309628572	4080.4521034012764	6545.649278998143	8496.23490349834	6003.7199332681	4297.834342003929	6862.614092007073	2963.4043311838864	5650.209015845413	11746.620596127419	5342.327917125837	2105.257604037323	6025.349960567816	3924.7465642217626	1057.9354381176745	8409.02366263105	4842.919673610499	1182.0805970239082	5475.001177273107	10337.832024026415	4552.9848205849385	11805.627497719292	2341.03915209735	2024.0029293156138	7401.93179478952	4117.444056983637	2885.8542434496862	13725.986079579892	5057.524294022012	2199.2527364424463	9423.797964665453	2789.8232422684314	1154.5962783228215	7897.297066783276	2298.0683029529596	801.2159318785089	6216.514233987871	6083.516146107618	3109.467602130484	13294.661724961546	15518.227901382426	2614.1050430654223	9553.789611554743	6706.4858747665785	1508.9875686700566	1990.4825042330463	1794.2165467196887	1811.59729466351	8234.12211128776	2637.8539920172066	4249.593802174044	11275.709689637999	3341.678163809562	2255.951346492118	8361.250757859276	2590.9944000108003	838.9704460121549	6566.404191631904	2700.552208467361	774.6534076302772	4613.825851058192	2358.9271167388188	2447.09478989334	19965.35295206605	13540.419001215496	1364.036038091065	6298.154361825353	4227.675694171716	2557.8742384939537	11828.61991408455	3913.700936931947	1406.7578287450635	6834.257660751356	5190.8963451541085	2735.753070004985	13018.73312578346	5561.746288448209	1525.0017270974781	8634.326597502555	4686.377755964468	2827.614678437796	16852.16635806594	5231.0376983779515	2459.590049525643	5820.535048855399	3464.5291916552865	1694.884182493328	10652.742666675442	6368.589748377568	98.62925777224463	796.5325056610808	119.00136975245849	1315.0765127826598	6569.624936042402	7031.578601354034	1688.1694234907643	11633.99001978456	5229.094686608179	1661.9115835813313	12987.43870283857	7661.753922676132	112.99999999978195	827.9715041976799	639.9952129959888	2954.4073328580625	5446.910989445281	7750.841538792842	1779.0842462175417	7310.003606732698	3328.6830248814263	1330.0156763582966	3878.7660797577337	6808.027436408659	525.0188503792363	16157.010848082575	3187.8430728012077	1659.5684003567203	5903.258448421665	2967.9394256763085		1675.0016012453348	405.99912818136363	386.0000202270298	10687.214959118473	2901.7151681090004	846.9982942448145	10523.820116527346	8509.883248473343	391.5904525184308	1662.6513625317966	2244.5075947744476	423.99953932063335	3402.826438310317	4112.077349370461	1305.0031351255755	9330.508893137652	7744.297592636578	5161.1574256807	8760.574740818378	6189.67576301575	5133.75595544165	10815.58348479937	10153.00768322511	783.4672464861801	4560.925274371169	3424.2886553193425	727.7083984267495	6514.306632877158	6965.9004268019025	496.90384342313473	3525.114479799604	4183.120841610792	3349.417025179586	9883.79223558768	7023.030204013416	427.00001388743976	5419.330940090274	564.2060744510406	11355.674985874793	594.6428756212425	13595.861103863208	8014.592981853547	9310.14362428712	1541.3186617983051	8075.580436463125	244.00004811778788	9606.721697775614	1727.521981214561	13879.902744708874	5816.045839557318	9858.988982146935	860.3318772836465	14463.300290878931	441.5315809780234	8170.142319684431	355.00919317852544	15112.072689649354	262.97910275253145	20314.258637047482	1766.7066372834613	6121.6884656843895	6337.543428955458	17420.510837409627	6462.959907441462	15272.27242304157	3815.8349693346954	9787.417694836859	6890.7686046383005	9640.888445891636	7740.244503846396	13686.23283531428
Firmicutes	34039.820439603405	55831.60240068797	36040.8063919669	42918.74656402744	18020.29715567271	45206.23243658581	24559.00930183237	40253.3085820239	13227.894276604355	41855.49646964027	70906.60428646242	32590.37383698149	28178.703463211183	84965.54312283627	33700.21733869209	26544.25992614633	54280.35224779582	23024.063358677155	44271.35682733471	41056.33003760163	65807.68967002314	31586.038297773375	52119.84301099919	36961.88936895989	26483.978715927235	24082.70513843075	18946.727705707573	47908.76628151444	60959.34492140604	29895.71469073921	31888.32804100374	39387.33574770662	29801.811616978153	23156.709344544357	42303.73471883731	20727.884645826118	21310.64670098911	34935.78839808507	21805.295099601386	35955.90150586639	41121.66369345154	31877.559954966975	30643.93062619277	49491.84776822862	42394.56875606076	2881.3626778597113	9740.588326382951	4513.828919966017	35451.03292726295	36159.09567215849	5329.970228817168	44757.99386871264	25742.276824044733	26905.682591369612	20327.170239264626	26105.486839965888	25727.512294101405	12310.771929076333	18303.47295988578	20401.344386043686	19792.573198136906	68737.58516399168	48277.84171654256	31736.23074851975	68712.30773743588	32313.87990026029	36398.36308162964	27892.402480513298	25913.706228056635	42782.531139043866	93567.54298361679	46208.67719954286	23830.373661960366	26058.59262984635	9827.711831174125	3234.7921806353374	9391.110569618262	3651.802104298659	15617.349870709453	19566.54418939622	19862.065445049935	28934.950878575808	29311.049916883454	33112.64088213207	20791.592666338573	24935.443997293285	18606.3252175004	26219.98482199196	36507.623483038275	28257.35841791437	29192.779370707918	28593.58638003021	23444.16826694971	24024.805195806388	42104.35075017559	30952.494950639168	21744.468004863753	21872.07676580345	35073.968015895225	32065.02885697741	38613.5629900532	16179.336530983637	22563.879670651462	19469.54469543899	19918.83879815302	38561.108491016574	35749.58639407169	28419.452359347557	30719.274352990535	20676.40810407251	26054.333068693864	31936.993968539504	34259.96056492244	19357.424878081038	18997.272613705685	22707.01261311741	36651.237900724926	39076.251118986176	55004.87264108448	50812.10027783004	43330.019382315884	58397.600892158945	42342.32733520476	23566.209339319284	8702.302093813836	8680.073707392577	23786.77161250944	29765.33424026635	16592.99996027628	45107.88904895079	39046.628867021886	21003.989313841434	35398.42986623358	35425.970015109386	24319.107968901153	40804.35129207345	49313.97039151693	35636.70077553296	25341.324743552115	24268.801556743787	16846.116347597017	37086.58222784898	61683.13087804928	41488.14843733143	25782.216803712945	25217.68224269193	22364.7626655726	37112.77105295552	38293.34841332203	19649.819062413717	23622.241237177666	33414.548861613875	42774.446863109144	36048.84665228259	44517.118685089095	26226.720295254658	42812.66737451647	28245.461352299157	16566.59516423194	69046.85059478472	48704.039255474956	26713.366238793984	34777.00542291025	29819.4287743758	17026.249215694213	36044.00588925287	65173.68199146114	38437.87174768128	2837.1756593914774	8598.028946395372	2345.998650783953	30753.222180020948	19880.831113259377	40530.580271410414	33481.22620574292	42214.26288540499	33465.849424934044	44207.496087361105	38721.37232661468	36935.037161393804	2703.4142236676935	3829.993627833802	3050.1279780025784	21032.408699592223	21505.272446929976	43802.5658674228	22511.767183738764	26491.935891440942	17199.279502259946	52133.076492930166	14777.177280348893	51292.03946871263	23643.176711062726	48371.79952216742	16854.394263729268	29929.018457150665	30736.030680058873	36785.1886535995	3165.0000006228947	6532.753380115463	1932.9534321869398	28619.399770791977	43846.400770873195	15722.17613311578	27979.905638065527	27722.004570715457	33770.20104622159	39948.88537504825	12181.21086429696	33889.83706246656	48420.36360099299	18718.12049459565	26409.86072329171	49152.86164846465	35996.903619641096	22157.519861638742	27723.35320386156	26546.36801599798	23442.800453493237	63503.84311368789	35483.14246994205	41690.572957749755	54183.29633489245	29866.72529454979	41089.61505864906	43517.493448207344	28635.15646885886	25747.901978283666	21507.504618393643	15496.055921224031	16270.353877852784	77502.93785319482	38824.09736067772	26244.717345890876	33459.44114933775	27223.653278318696	47005.220689603906	41340.326188912506	22494.871327089815	67848.12528960116	36663.5980753369	39842.59649329736	30441.478232038196	32029.481226292755	47716.47633957193	51691.19982476987	28783.105394089707	39527.004336479855	28075.40586884854	31812.329909029257	28945.38792788188	44892.71931472182	20192.34161530306	25283.470218569473	31787.240403450734	43546.14974444145	32631.535832773327	69344.61988170544	37427.97497188973	40901.04326629618	19228.016393129	45431.31254098004	18533.28183470005	41539.13483318223	15461.305739039382	30484.554629514674	26633.137371900946	32473.23528453025	20594.167188651452	34744.181017841285
Planctomycetes																																																																																																																					15.997598739534238																																							13.00530301455225												31.377036218374187																																																																																																						
Proteobacteria	122.99999999996882	1107.1116891632762	97.00000002983467	147.9812725660151	217.00176613256718	90.99999821846049	49.999719489729074	298.8781333090319	16.0	136.89052902153855	1069.4023765714226	76.99993779055325	94.0	1525.3761222123185	72.99999998079221	75.99994979283538	738.5186501696139	56.0008630953098	200.9653666400863	626.0985376708504	171.18713000072728	139.9990404617135	777.959570471052	177.9702808652491	159.37103935924148	499.7909672600158	52.000000000000014	242.89704595952082	966.0569004249736	101.0000005599747	124.53770978427328	393.9883556429045	91.00003118242748	90.00000049159488	719.9564430729189	76.99996151748887	60.0	703.8053776176465	89.0396066121464	164.9991138825039	820.167216463125	163.99999997162774	150.22172900665794	1094.3725850763215	191.0000317809623		182.31614175415513	12.00000000000005	104.47776471870668	816.5702348479881	21.0	126.99522375310968	448.94396779635133	97.00000000836948	34.000000006075354	425.9928784375378	1068.15355533682	10.004327138662337	396.45367227633875	1445.472711037473	48.00003036100011	1003.4919586111454	1686.38201004347	62.00000284051043	1683.5515933827373	1304.0125874521036	194.33695668374997	687.9878396178752	1430.1232766945257	155.0269039729502	1846.3571202312232	1107.7334814740539	74.00000004127779	4841.070583475989	467.00310203613975		2627.6762139372418	207.00000015073363	35.99999999998388	6561.249846012916	1598.9462269121127	97.99958513988038	7191.703210111834	1796.8420489494968	61.000000319864306	6608.617277587411	1086.7917667727152	104.32452229459751	8303.983028819643	1189.5355778529618	77.99999450946262	6344.321079402004	1048.505966899254	45.0073846237409	8539.231949272244	1313.9345104264876	85.17909591541347	5230.163190027278	2218.7317092921735	70.99995863168222	8377.30864269511	1894.141390277004	52.46427169617941	5503.884477308569	3701.4544465926997	119.03032681872398	10673.197194915212	5069.430527503898	24.00000075240141	5177.953003632009	1254.241120640278	118.10692183761147	9120.627212288435	1764.0705695224663	29.0	4837.0251307956305	2987.9609982972593	91.57004966530067	16444.54566874568	12218.187172964299	69.0	15438.748931805205	4333.289269276396	48.00000000783681	3208.0264941061064	1566.427810097314	43.99999999999998	6960.404825498184	1231.983781784938	114.00000000001636	10062.905728331765	1712.0896438516222	59.00000030419869	5724.5113689321615	1453.6220578311281	34.0	5385.0579644274785	1097.4879494769175	29.0	3694.8255340308183	1018.9549673873793	68.9992833316672	15120.300855994255	4323.206281074368	75.0	9933.283131842776	3254.27783350954	109.00000003796919	9580.191971057771	1828.1843202474317	59.00000000000002	4622.162311819488	2462.3360004945466	130.99916950720092	9919.833438820819	1624.273004664597	164.9999995241572	6649.513263768684	1254.8832755163849	206.9820977789909	12629.378853760494	1740.72861562837	110.99781524681376	11014.09261478177	1322.8236639920508	80.00000941841347	17095.122886652614	2219.7774278676943		1294.9399337399707	43.0	44.0	4777.901650523107	2071.1108950101216	50.99975619408718	8486.859130590046	1611.7242619655256	76.00000000000918	9055.459426174733	2146.849525274162		891.3678763216421	148.83489700906378	44.15797771727031	4563.120712642384	2170.868346258729	66.00000054667115	6093.718850267267	967.9784043712292	158.82454193995244	2169.9671712897143	2598.1439405650513	165.64526713216532	11074.081508090761	1671.392578517816	53.0	5702.374912045386	2175.6726734964714		835.1411250100247	186.06145831999635	57.0	6079.799301197491	1378.8714607906015	101.00000004180554	5928.898326366934	3431.5647325184727	179.00000009936534	3114.411269169831	1768.3805916080516	204.52339657355083	5998.06068993848	1387.7114860785837	449.409160611987	9441.140375034174	1752.072035499469	279.88460319922314	6301.246448088112	2914.523920262617	564.513053983964	7145.481171267147	4610.407124878385	471.8537024846037	2704.707785449079	1510.29102897646	190.99999806827321	6257.616421897658	2853.730405171388	52.00000000056093	3152.129705476219	1885.0987820443545	288.99999999814804	10078.743528263192	3230.9920383507438	572.1270498325366	4147.120064914484	517.7666642811249	7370.949586256152	223.53446271353528	11794.260184608154	266.96291537833844	12866.778104560293	119.0001849339154	6189.420855526706	180.00007973243115	6651.609264448558	463.0069753361007	161.0000774936258	261.9841665171479	113.79031131200712	341.363041320149	169.00000000063847	427.9993528255579	143.00080734824263	556.9993002805007	326.9954813015581	446.4989863122139	205.0000492281741	36.0067655590573	73.00077093626919	118.42495004245896	230.99956322274753	130.9999722975849	237.0242670073838	108.00000001608387	101.00000015474862	377.88276592132166	170.60685692790608	207.74564947589016	174.15295765792843
Synergistetes	36.0	145.95634193677805		86.33393264347238			20.000000001150383	17.175095587331015		11.000000399391114			11.99471628770126	24.000569207687533		12.999999999967748			23.999999999985675	24.00079931184188					29.027838525341224			22.999999999999435	21.00330444682565					30.0	51.99999999784757			10.0		19.0				18.03690472949478					20.000000624845736	19.002730627688003						13.0					27.000000002232785	14.000162536958369			14.000000000000412		23.99999999999943						42.0																											19.00000000793302	13.000000000299565																					62.006515003257526																													17.0									11.999999999967486	16.99999999876866		29.99995197255912	10.999999999999984		16.0				12.00012043615516																								14.81455538184515																																														11.000000000217083						18.00000000007532			13.99999999965133	17.0		27.999999974218056						19.0					10.0	17.999999946396404			32.99991612571446		22.99994937430657	
Tenericutes	16.001752903094356	12.174921890437684		13.058044872935604							13.00100001632359			25.055131754761216																																			25.20170063077667																	14.0															18.0			29.0						22.0						21.000000000000004			39.0						19.0														20.0	53.99999999996356																										15.485623287796878	17.0		20.54795815701008	31.0			38.99999999999948			68.9774700135864			20.0			116.0			23.0		22.989537690227824	314.41618062712223						94.0			266.6710523971966			144.0						89.0			41.0					20.000178847484666	38.0			40.0									23.0			20.0					29.999974785780285	33.0			34.0			106.0					36.99999993539235	20.0		26.00000000000277	21.0		24.0	21.0						27.99803518615								18.307806212880493				20.111112499004957				29.00336566358296														
Verrucomicrobia														25.99409148459991							13.0		10.0						11.0																								13.0																																																																																																																																																																																																																						10.0	15.0	11.0	
	464.0	567.0	310.0	1292.0	313.0	305.0	306.0	242.0	307.0	337.0	293.0	280.0	370.0	333.0	308.0	290.0	311.0	286.0	537.0	356.0	650.0	330.0	274.0	549.0	341.0	367.0	265.0	384.0	323.0	305.0	343.0	279.0	334.0	976.0	560.0	3815.0	722.0	725.0	327.0	296.0	332.0	375.0	694.0	988.0	449.0	236.0	263.0	252.0	348.0	363.0	292.0	372.0	292.0	424.0	245.0	328.0	202.0	233.0	288.0	211.0	370.0	341.0	232.0	278.0	341.0	327.0	410.0	303.0	257.0	264.0	325.0	304.0	346.0	299.0	696.0	217.0	295.0	247.0	344.0	283.0	222.0	291.0	300.0	292.0	330.0	282.0	289.0	301.0	295.0	264.0	301.0	310.0	312.0	318.0	324.0	298.0	448.0	304.0	1930.0	346.0	316.0	319.0	320.0	238.0	234.0	263.0	285.0	275.0	333.0	307.0	387.0	291.0	288.0	364.0	330.0	291.0	359.0	259.0	319.0	386.0	295.0	415.0	858.0	314.0	394.0	318.0	262.0	339.0	222.0	251.0	285.0	200.0	322.0	324.0	507.0	265.0	337.0	261.0	286.0	352.0	269.0	321.0	555.0	956.0	326.0	522.0	818.0	237.0	231.0	228.0	273.0	282.0	225.0	254.0	275.0	265.0	258.0	294.0	196.0	287.0	322.0	573.0	309.0	380.0	232.0	336.0	1019.0	518.0	225.0	262.0	255.0	356.0	434.0	235.0	292.0	366.0	286.0	311.0	303.0	221.0	133.0	216.0	212.0	315.0	464.0	384.0	200.0	370.0	328.0	300.0	256.0	265.0	250.0	290.0	255.0	236.0	305.0	239.0	98.0	229.0	194.0	285.0	579.0	556.0	221.0	301.0	391.0	240.0	248.0	496.0	391.0	576.0	906.0	242.0	370.0	426.0	251.0	339.0	315.0	359.0	460.0	298.0	275.0	309.0	225.0	223.0	276.0	348.0	210.0	273.0	254.0	279.0	285.0	219.0	250.0	360.0	287.0	312.0	254.0	890.0	249.0	413.0	268.0	377.0	279.0	349.0	287.0	353.0	214.0	332.0	289.0	484.0	218.0	335.0	231.0	357.0	276.0	324.0	310.0	405.0	297.0	318.0	316.0	372.0	298.0	278.0	504.0	407.0	380.0	372.0
