genus,n_sig_padj0.05,min_padj,max_abs_stat
Paeniclostridium,6,9.171449056353444e-28,11.3668670493131
Acidaminococcus,6,2.496308191057273e-23,10.410989997194758
Negativibacillus,6,2.0963969464172915e-14,8.098465907095754
Holdemanella,5,1.4418785540705803e-6,5.447649018337937
Eubacterium,4,7.39367852740983e-8,6.109546608198504
Ruminococcus,3,2.024249798800675e-4,4.646646254547305
Parasutterella,3,5.412353723337411e-4,4.241101521397526
Olsenella,2,1.2860302851575976e-9,6.71840963984915
Coprococcus,2,1.9098796569023385e-5,4.8888833927254405
Escherichia,2,3.644515521054035e-4,4.156950740747844
Collinsella,2,0.00604494950449404,3.757587793052216
Catenibacterium,2,0.02129233873885813,3.355276518889628
Senegalimassilia,2,0.02244990656305705,3.149680890208919
Anaerostipes,2,0.03175937306694082,3.376963177495116
Megamonas,1,8.737947593838205e-5,4.856136983167026
Peptostreptococcus,1,1.6811267068481573e-4,4.408392699921406
Duodenibacillus,1,2.466181716682334e-4,4.295122454803654
Slackia,1,3.644515521054035e-4,4.174360229161373
Anaerobutyricum,1,5.412353723337411e-4,4.261575696573252
Eggerthella,1,7.85728072722725e-4,4.137037558728576
Phocaeicola,1,9.70530176173692e-4,4.329700407370649
Hespellia,1,0.00159278345398117,4.351869422674
Bacteroides,1,0.00176942166191535,3.756589647894654
Faecalibacterium,1,0.00270147098735612,3.9877496858066945
Holdemania,1,0.00273571953448411,3.623610601412809
Alistipes,1,0.0065674715384441,3.860333731684969
Roseburia,1,0.00741685058311796,3.3616100050833335
Anaeromassilibacillus,1,0.00815351010385112,3.714212135963205
Tyzzerella,1,0.01089400822680548,3.8623716191421833
Parabacteroides,1,0.01270711823933873,3.1821460369493324
Longibaculum,1,0.01500656811737461,3.111845009590469
Mediterraneibacter,1,0.01818180618294883,3.065789366664075
Intestinibacter,1,0.01821395999224406,3.2316741718763917
Dorea,1,0.03210662337326764,5.654504198764404
Sutterella,1,0.03442474006964106,2.7956876166905653
Lactobacillus,1,0.03796034039344058,3.2676141599901456
Gemmiger,1,0.03818068855040626,3.3194634733742645
